Locus,Total_Depth,Average_Depth_sample,Depth_for_17
chr1:6500763,0,0.00,0
chr1:6500764,0,0.00,0
chr1:6500765,0,0.00,0
chr1:6500766,0,0.00,0
chr1:6500767,0,0.00,0
chr1:6500880,0,0.00,0
chr1:6500881,0,0.00,0
chr1:6500882,0,0.00,0
chr1:6500883,0,0.00,0
chr1:6500884,0,0.00,0
chr1:6500885,0,0.00,0
chr1:6500886,0,0.00,0
chr1:6500887,0,0.00,0
chr1:6500888,0,0.00,0
chr1:6500974,0,0.00,0
chr1:6500975,0,0.00,0
chr1:6500976,0,0.00,0
chr1:6500977,0,0.00,0
chr1:6500978,0,0.00,0
chr1:6500979,0,0.00,0
chr1:6500980,0,0.00,0
chr1:6500981,0,0.00,0
chr1:6500982,0,0.00,0
chr1:6500983,0,0.00,0
chr1:6500984,0,0.00,0
chr1:6500985,0,0.00,0
chr1:6500986,0,0.00,0
chr1:6500987,0,0.00,0
chr1:6500988,0,0.00,0
chr1:6505913,0,0.00,0
chr1:6505914,0,0.00,0
chr1:6505915,0,0.00,0
chr1:6505916,0,0.00,0
chr1:6505917,0,0.00,0
chr1:6505918,0,0.00,0
chr1:6505919,0,0.00,0
chr1:6505920,0,0.00,0
chr1:6505921,0,0.00,0
chr1:6505922,0,0.00,0
chr1:6505923,0,0.00,0
chr1:6505924,0,0.00,0
chr1:6505925,0,0.00,0
chr1:6505926,0,0.00,0
chr1:6505927,0,0.00,0
chr1:6505928,0,0.00,0
chr1:6505929,0,0.00,0
chr1:6505930,0,0.00,0
chr1:6505931,0,0.00,0
chr1:6505932,0,0.00,0
chr1:6505933,0,0.00,0
chr1:6505934,0,0.00,0
chr1:6505935,0,0.00,0
chr1:6505936,0,0.00,0
chr1:6505937,0,0.00,0
chr1:6505938,0,0.00,0
chr1:6505939,0,0.00,0
chr1:6505940,0,0.00,0
chr1:6505941,0,0.00,0
chr1:6505942,0,0.00,0
chr1:6505943,0,0.00,0
chr1:6505944,0,0.00,0
chr1:6508863,0,0.00,0
chr1:6508864,0,0.00,0
chr1:6508865,0,0.00,0
chr1:6508866,0,0.00,0
chr1:6508867,0,0.00,0
chr1:6508868,0,0.00,0
chr1:6508869,0,0.00,0
chr1:6508870,0,0.00,0
chr1:6508871,0,0.00,0
chr1:6508872,0,0.00,0
chr1:6508873,0,0.00,0
chr1:6508874,0,0.00,0
chr1:6508875,0,0.00,0
chr1:6508876,0,0.00,0
chr1:6508877,0,0.00,0
chr1:6508878,0,0.00,0
chr1:6508879,0,0.00,0
chr1:6508880,0,0.00,0
chr1:6508881,0,0.00,0
chr1:6508882,0,0.00,0
chr1:6508883,0,0.00,0
chr1:6508884,0,0.00,0
chr1:6508885,0,0.00,0
chr1:6508886,0,0.00,0
chr1:6508887,0,0.00,0
chr1:6508888,0,0.00,0
chr1:6508889,0,0.00,0
chr1:6508890,0,0.00,0
chr1:6508891,0,0.00,0
chr1:6508892,0,0.00,0
chr1:6508893,0,0.00,0
chr1:6508894,0,0.00,0
chr1:6508895,0,0.00,0
chr1:6508896,0,0.00,0
chr1:6508897,0,0.00,0
chr1:6508898,0,0.00,0
chr1:6508899,0,0.00,0
chr1:6508900,0,0.00,0
chr1:6508901,0,0.00,0
chr1:6508902,0,0.00,0
chr1:6508903,0,0.00,0
chr1:6508904,0,0.00,0
chr1:6508905,0,0.00,0
chr1:6508906,0,0.00,0
chr1:6508907,0,0.00,0
chr1:6508908,0,0.00,0
chr1:6508909,0,0.00,0
chr1:6508910,0,0.00,0
chr1:6508911,0,0.00,0
chr1:6508912,0,0.00,0
chr1:6508913,0,0.00,0
chr1:6508914,0,0.00,0
chr1:6508915,0,0.00,0
chr1:6508916,0,0.00,0
chr1:6508917,0,0.00,0
chr1:6508918,0,0.00,0
chr1:6508919,0,0.00,0
chr1:6508920,0,0.00,0
chr1:6508921,0,0.00,0
chr1:6508922,0,0.00,0
chr1:6508923,0,0.00,0
chr1:6508924,0,0.00,0
chr1:6508925,0,0.00,0
chr1:6508926,0,0.00,0
chr1:6508927,0,0.00,0
chr1:6508928,0,0.00,0
chr1:6508929,0,0.00,0
chr1:6508930,0,0.00,0
chr1:6508931,0,0.00,0
chr1:6508932,0,0.00,0
chr1:6508933,0,0.00,0
chr1:6508934,0,0.00,0
chr1:6508935,0,0.00,0
chr1:6508936,0,0.00,0
chr1:6508937,0,0.00,0
chr1:6508938,0,0.00,0
chr1:6509062,0,0.00,0
chr1:6509063,0,0.00,0
chr1:6509064,0,0.00,0
chr1:6509065,0,0.00,0
chr1:6509066,0,0.00,0
chr1:6509067,0,0.00,0
chr1:6509068,0,0.00,0
chr1:6509069,0,0.00,0
chr1:6509070,0,0.00,0
chr1:6509071,0,0.00,0
chr1:6509072,0,0.00,0
chr1:6509073,0,0.00,0
chr1:6509074,0,0.00,0
chr1:6509075,0,0.00,0
chr1:6509076,0,0.00,0
chr1:6509077,0,0.00,0
chr1:6509078,0,0.00,0
chr1:6509079,0,0.00,0
chr1:6509080,0,0.00,0
chr1:6509081,0,0.00,0
chr1:6509082,0,0.00,0
chr1:6509083,0,0.00,0
chr1:6509084,0,0.00,0
chr1:6509085,0,0.00,0
chr1:6509086,0,0.00,0
chr1:6509087,0,0.00,0
chr1:6509088,0,0.00,0
chr1:6509089,0,0.00,0
chr1:6509090,0,0.00,0
chr1:6509091,0,0.00,0
chr1:6509092,0,0.00,0
chr1:6509093,0,0.00,0
chr1:6509094,0,0.00,0
